,sample_id,class,topic,eta,muFA,probabilities
0,0,1,Topic 1,-1.3770801041052247,-0.5025248187207833,0.009703121995324509
1,1,1,Topic 1,0.7112326935969978,0.3138031702006248,0.1780988755893453
2,2,1,Topic 1,-0.41479325691663177,-0.3371305529194709,0.04172772779050929
3,3,1,Topic 1,2.7996896702267953,0.9899718737781158,0.5524246107261345
4,4,1,Topic 1,1.3787516054411086,0.14699120461225254,0.3319947626168676
5,5,1,Topic 1,-0.6746591855718018,-0.13084467332283037,0.039822345878962884
6,6,1,Topic 1,-0.9937542748790796,-0.38102579631576416,0.026787068248952557
7,7,1,Topic 1,0.19771054382013495,0.16945133472289128,0.08112392783830351
8,8,1,Topic 1,0.04504982125924812,-0.26967339717174865,0.10660693486906153
9,9,1,Topic 1,-1.4997344376780726,-0.8440492474118482,0.007427612187748751
10,10,1,Topic 1,-1.3651208590754431,-0.3741465052082429,0.021983098900482695
11,11,1,Topic 1,1.63238054483737,0.6451109120482565,0.24975879018545866
12,12,1,Topic 1,-0.3909406274705793,-0.1770452935538895,0.06052247159282425
13,13,1,Topic 1,-0.4846799461682478,-0.18131652415499291,0.04676429449350017
14,14,1,Topic 1,-1.053641233135243,-0.5037528080829169,0.017346468808873156
15,15,1,Topic 1,-0.4119235581165467,-0.31471911964039606,0.02998885322942701
16,16,1,Topic 1,-1.4612956470518788,-0.6343137928731096,0.020608594799572964
17,17,1,Topic 1,1.3079498454425638,0.5267957484271433,0.22136390458436292
18,18,1,Topic 1,0.5501359793740449,0.16702062917717034,0.1434513340679149
19,19,1,Topic 1,-1.0778817565537202,-0.6626369757702671,0.027666264571525788
20,20,1,Topic 1,0.026342238379761393,0.3510339985864782,0.08916268248845949
21,21,1,Topic 1,-0.47483141920716865,0.000479869692779712,0.02513262155130994
22,22,1,Topic 1,2.087459017447273,0.8531698399658868,0.44677834542513684
23,23,1,Topic 1,-0.13587710854427054,0.12934855345648613,0.06241323469006937
24,24,1,Topic 1,-1.0541746914784322,-0.15327255660717856,0.027021915492671907
25,25,1,Topic 1,0.00036451590882331526,-0.08123382273864183,0.025262384856740514
26,26,1,Topic 1,1.0458123489646771,0.3749527863659406,0.13809752940456785
27,27,1,Topic 1,0.44012755219047534,0.09545572131849463,0.07284302635255122
28,28,1,Topic 1,-1.1592535605354026,-0.34817190857539415,0.009565285633639495
29,29,1,Topic 1,-1.9066346433116934,-0.9891478798121167,0.004861958317243358
30,30,1,Topic 1,-0.8717655923092495,-0.252425269220689,0.009905002382696813
31,31,1,Topic 1,-0.09535036332612531,0.1305892254574829,0.06275471335995718
32,32,1,Topic 1,-1.1960176970751137,-0.5536128677064676,0.015137501826493571
33,33,1,Topic 1,-1.4605822663617287,-0.7044931398970914,0.008669907865621086
34,34,1,Topic 1,-1.09529306273813,-0.6850729353649894,0.03129385521353247
35,35,1,Topic 1,0.64947750195292,0.30576611793812736,0.07857905876000237
36,36,1,Topic 1,-0.44975612221158145,-0.10415849990647393,0.05035400961855612
37,37,1,Topic 1,-1.2024101746917135,-0.5035855186105912,0.013584274070255304
38,38,1,Topic 1,0.87690594698929,0.5258394592181731,0.2635677192681717
39,39,1,Topic 1,-1.3863830613673,-0.7258183631073641,0.01506266629569084
40,40,1,Topic 1,-1.3137661601068915,-0.28597876819200563,0.012566630383317992
41,41,1,Topic 1,0.45964392563581113,0.23203480942497803,0.10399990965851699
42,42,1,Topic 1,-1.1106262825504223,-0.5958239824003431,0.01031285701944345
43,43,1,Topic 1,0.8707235756767255,0.45317045821759305,0.14284587322580186
44,44,1,Topic 1,-0.29850980870041616,-0.48143899728579087,0.03822470021480824
45,45,1,Topic 1,-1.7444668439380764,-0.4110577745293146,0.010285682524449814
46,46,1,Topic 1,0.6243106764838382,0.08793107253154259,0.11404059724574973
47,47,1,Topic 1,0.329826499268518,0.20575632571105598,0.07637723117764582
48,48,1,Topic 1,1.7372032713991075,0.6491836122950224,0.35002391436799857
49,49,1,Topic 1,-1.1071648013424464,-0.23813865484018612,0.011982060131674214
50,50,1,Topic 1,0.6716407264572094,0.11949210130124907,0.11512956448004362
51,51,1,Topic 1,-1.2426472079579833,-0.4252969867245997,0.012932057219763227
52,52,1,Topic 1,-1.234498662362152,-0.5719741600681104,0.018903487542060542
